=== FLAT FEATURE MATRIX LOG ===
Feature names order: ['jit_enabled', 'total_startup_cost', 'total_cost', 'max_plan_rows', 'total_plan_width', 'Seq Scan', 'Hash Join', 'Nested Loop', 'Aggregate', 'Sort', 'Other_Operators']
Query 46: [0.0, 1.7631628513336182, 1.7051539421081543, 0.576764702796936, -0.5232674479484558, 0.5124320983886719, 0.5372973084449768, -0.8491160869598389, 0.0, 1.271884560585022, -0.4853607714176178]
Query 47: [0.0, -0.4112754464149475, -0.41316112875938416, -0.47359520196914673, -0.902936577796936, -0.9267388582229614, -0.9402703046798706, -0.1898023933172226, 0.0, -0.17543236911296844, -0.880840003490448]
Query 48: [0.0, 0.977216362953186, 1.0774376392364502, -0.4197881817817688, 0.2787836194038391, 1.9516030550003052, 2.014864921569824, -0.1898023933172226, 0.0, 1.271884560585022, 0.7010769248008728]
Query 49: [0.0, 0.18813592195510864, 0.13690955936908722, -0.4546351432800293, -0.9503952264785767, -0.9267388582229614, -0.9402703046798706, -0.8491160869598389, 0.0, -1.6227493286132812, -1.2763192653656006]
Query 50: [0.0, 0.9485234022140503, 1.2354367971420288, 0.10291840136051178, 1.0096466541290283, 2.6711885929107666, 2.7536487579345703, -0.8491160869598389, 0.0, -0.17543236911296844, 0.7010769248008728]
Query 51: [0.0, 1.561974287033081, 1.1091588735580444, -0.3420692980289459, 0.4733640253543854, 3.3907737731933594, 3.4924328327178955, -0.1898023933172226, 0.0, -0.17543236911296844, 1.4920353889465332]
Query 52: [0.0, 3.1746509075164795, 2.7693073749542236, 1.4887189865112305, 0.5991294384002686, 2.6711885929107666, 2.7536487579345703, -0.8491160869598389, 0.0, -0.17543236911296844, 0.7010769248008728]
Query 53: [0.0, 2.4262869358062744, 2.0272626876831055, -0.006916692480444908, 2.59951114654541, 1.2320176362991333, 1.2760812044143677, -0.8491160869598389, 0.0, 1.271884560585022, -0.08988155424594879]
Query 54: [0.0, -0.8069872260093689, -0.8199255466461182, -0.4675914943218231, -0.5897095799446106, 0.5124320983886719, -0.2014864832162857, 1.1288249492645264, 1.4719600677490234, -0.17543236911296844, 0.7010769248008728]
Query 55: [0.0, 1.092503547668457, 1.0960851907730103, 0.0023997335229068995, -0.755814790725708, -0.20715336501598358, -0.2014864832162857, -0.8491160869598389, 0.0, -0.17543236911296844, -0.880840003490448]
Query 56: [0.0, 0.31781989336013794, 0.16250646114349365, -0.0076072681695222855, -0.9883621335029602, -0.9267388582229614, -0.2014864832162857, -0.8491160869598389, 1.4719600677490234, -0.17543236911296844, -0.4853607714176178]
Query 57: [0.0, 0.7437466979026794, 0.5280585885047913, -0.426899254322052, -0.6134388446807861, -0.20715336501598358, -0.2014864832162857, -0.8491160869598389, 0.0, -1.6227493286132812, -0.880840003490448]
Query 58: [0.0, 1.0225244760513306, 0.7029972672462463, 1.4578857421875, 1.0926992893218994, -0.9267388582229614, -0.9402703046798706, -0.8491160869598389, 0.0, -0.17543236911296844, -1.2763192653656006]
Query 59: [0.0, -0.5974447131156921, -0.6016636490821838, -0.36085259914398193, -0.49479225277900696, -0.20715336501598358, -0.2014864832162857, -0.8491160869598389, -1.4719600677490234, 1.271884560585022, -0.4853607714176178]
Query 60: [0.0, -0.43644458055496216, -0.012527374550700188, 4.263062477111816, -0.9551410675048828, -0.20715336501598358, -0.2014864832162857, -0.8491160869598389, 0.0, -1.6227493286132812, -0.4853607714176178]
Query 61: [0.0, 3.3586556911468506, 4.179602146148682, 4.263062477111816, -0.3761456608772278, -1.6463242769241333, -0.9402703046798706, -0.1898023933172226, 0.0, 1.271884560585022, 1.0965561866760254]
Query 62: [0.0, -0.6690486073493958, -0.6760727167129517, -0.4928027391433716, -0.829375684261322, -0.9267388582229614, -0.9402703046798706, -0.1898023933172226, 0.0, -1.6227493286132812, -0.880840003490448]
Query 63: [0.0, 1.4260965585708618, 1.3391427993774414, -0.4908202588558197, -0.5493696928024292, -0.20715336501598358, -0.2014864832162857, 0.4695112705230713, -1.4719600677490234, -0.17543236911296844, 1.4920353889465332]
Query 64: [0.0, 0.31299301981925964, 1.5322511196136475, 0.1676027774810791, -0.2907201051712036, 0.5124320983886719, 0.5372973084449768, 1.1288249492645264, -1.4719600677490234, 1.271884560585022, 0.7010769248008728]
Query 65: [0.0, -0.7671502232551575, -0.7794990539550781, -0.49137911200523376, -0.2005486786365509, -0.20715336501598358, -0.9402703046798706, -0.1898023933172226, 2.943920135498047, -0.17543236911296844, -0.4853607714176178]
